Region,Unit,Unit Name,2013,2014,2015,2016,2017,2018
01,0102,BEAVERHEAD-DEERLODGE,10186400,10062553,9876986,11260378,11171020,12283903
01,0103,BITTERROOT,5770090,5890054,6608418,7436400,7238120,7509132
01,0104,IDAHO PANHANDLE,15736774,19735607,16621688,17937055,24067207,27971491
01,0110,FLATHEAD,11613038,11835905,12819545,13391895,13368825,13977174
01,0111,CUSTER GALLATIN,16040677,14225451,13687644,16489726,16700096,16499077
01,0114,KOOTENAI,12200600,12307237,12509676,13155549,13414065,14531490
01,0115,LEWIS AND CLARK,15228455,17482170,15487578,20143179,18538328,18357140
01,0116,LOLO,12386050,12473499,12173116,13560300,14019510,18593500
01,0117,NEZ PERCE-CLEARWATER,21477100,21392415,20016487,22405509,22441511,21729644
01,0118,DAKOTA PRAIRIE GRASSLANDS,7173300,7110447,8158327,8417045,8317750,8928899
02,0202,0202 - BIGHORN,6828200,7531801,7408873,7601940,7247996,6773592
02,0203,0203 - BLACK HILLS,22691932,23693304,23388529,25769601,24023504,23368010
02,0204,0204 - GRAND MESA-UNC-GUNN,15644470,17115557,17666752,19255102,16693406,18235513
02,0206,0206 - MEDICINE BOW ROUTT THUNDER BASIN,19308130,18382392,17169113,20105473,17127664,19975766
02,0207,0207 - NEBRASKA,7858226,8550092,7314789,8253896,7749500,7330607
02,0209,0209 - RIO GRANDE,7735940,10370514,8704774,9877236,8255937,9704384
02,0210,0210 - ARAPAHO-ROOSEVELT,20725000,23650112,18268355,20838977,18394598,16231206
02,0212,0212 - PIKE-SAN ISABEL,22062033,23535927,21691986,23302413,21746961,19629535
02,0213,0213 - SAN JUAN,13392472,13078295,13860716,14643957,18176880,15097921
02,0214,0214 - SHOSHONE,9115429,9076204,8993588,9795649,8785616,10077474
02,0215,0215 - WHITE RIVER,17658092,15687883,14768756,15403337,14937972,14149018
03,0301,APACHE-SITGREAVES NF,18475477,19974130,17027571,20429666,15308559,21083303
03,0302,CARSON NF,11665770,12404105,11703729,14394638,12131440,11302441
03,0303,CIBOLA NF,14117672,16955971,15837260,16169868,16344971,15330733
03,0304,COCONINO NF,20036132,19541275,17149736,22499277,20169141,24897485
03,0305,CORONADO,13786328,13176843,12957500,14019639,14055914,14380392
03,0306,GILA,11841351,11865249,12225272,12280484,12471682,12848233
03,0307,KAIBAB,10127378,10545726,12665482,13905562,11791142,14590718
03,0308,LINCOLN,10680343,11220792,10794965,10421684,10699329,9596080
03,0309,PRESCOTT,9137879,9138825,11187759,11086622,9858153,10491276
03,0310,SANTA FE,17014046,18414403,15202570,21289159,18892548,18119482
03,0312,TONTO,16590542,19515338,18262310,17941172,19977514,20360494
04,0401,ASHLEY,9801130,9306985,9632571,9839063,10120385,10076869
04,0402,BOISE,15799665,16783936,15414750,15964591,15034050,16145760
04,0403,BRIDGER-TETON,13789626,12494066,11875567,13125429,12154384,12496622
04,0407,DIXIE,12454451,13572101,11446894,12075361,13228150,13387861
04,0408,FISHLAKE,9473726,10289083,10013906,10295000,9686383,10772760
04,0410,MANTI-LASAL,8472704,8730101,8882546,10725727,10125748,10912836
04,0412,PAYETTE,17318838,16229569,14557128,16306857,15414815,16801088
04,0413,SALMON-CHALLIS,13351391,13594605,13884552,15818105,15064815,14406398
04,0414,SAWTOOTH,14429040,11346231,11077644,11365378,14863035,10755115
04,0415,CARIBOU-TARGHEE,16998779,14827544,14884595,15353728,13657808,13690443
04,0417,HUMBOLDT-TOIYABE,15191345,16224682,15751537,18036025,16349047,16608082
04,0419,UINTA-WASATCH-CACHE,14672052,15401133,15406344,16322862,14721300,14100173
05,0501,0501 ANGELES,10440974,9728331,13312797,12679155,11104475,9685039
05,0502,0502 CLEVELAND,7345351,7854122,7199979,6494271,8151733,5790600
05,0503,0503 ELDORADO,12487475,11247010,9917138,14560578,12069860,8978000
05,0504,0504 INYO,9907507,8347110,9509038,7060873,6904250,6844950
05,0505,0505 KLAMATH,19130570,18771270,21636679,17498563,14705525,12636677
05,0506,0506 LASSEN,15741986,13468079,13460795,13367777,11782635,11266236
05,0507,0507 LOS PADRES,9263545,9575973,8661554,8583950,7834229,7186709
05,0508,0508 MENDOCINO,8843963,7392960,7648370,6973502,6534650,6512000
05,0509,0509 MODOC,7326714,7313107,7761850,7801675,6713500,6535000
05,0510,0510 SIX RIVERS,10829505,8824648,10045740,8681798,9601719,7867600
05,0511,0511 PLUMAS,15891504,13247779,13950119,12672734,12968500,12310000
05,0512,0512 SAN BERNARDINO,14792250,14656018,13347490,13828374,9454300,8875958
05,0513,0513 SEQUOIA,10552620,9510064,11421135,7680566,7322672,6688000
05,0514,0514 SHASTA TRINITY,21859747,19518826,19312418,19819566,18088156,16744206
05,0515,0515 SIERRA,11960907,12645182,13658127,11751911,11003708,11517280
05,0516,0516 STANISLAUS,13983049,26703663,15437584,12377053,10891051,9959325
05,0517,0517 TAHOE,15117570,16081913,14931753,13865672,12152708,12416277
05,0519,0519 LAKE TAHOE BASIN MGMT UNIT,6453280,6426946,6912152,6357016,5975809,4945349
06,0601,DESCHUTES,20629410,19724606,18499791,20727739,20875681,20978944
06,0602,FREMONT-WINEMA,20127298,19427257,17572177,18495177,19971205,20477551
06,0603,GIFFORD PINCHOT,14039116,12712901,14886436,15686346,12676466,20763417
06,0604,MALHEUR,13780693,15856577,15348820,18917473,18776992,19875814
06,0605,MT BAKER-SNOQUALMIE,11032278,10547622,9977373,10839019,10155854,9292332
06,0606,MT HOOD,13243181,12966581,11901074,12968122,12055974,13172086
06,0607,OCHOCO,7920863,8328664,8200058,8900822,8646980,10588599.86
06,0609,OLYMPIC,10494346,10250573,11594742,7010966,7374387,7688700
06,0610,ROGUE RIVER-SISKIYOU,15409717,16140155,16610731,18342755,16124037,18287672
06,0612,SIUSLAW,10060755,9993412,9402906,10625639,10847259,11106371
06,0614,UMATILLA,11286610,10691880,11226554,10975948,11853162,12793425
06,0615,UMPQUA,11971823,12737615,11797180,12524742,12104424,12780409
06,0616,WALLOWA WHITMAN,17985929,16526951,15538891,18759529,16142124,16047280
06,0617,OKANOGAN-WENATCHEE,27783778,29545508,26599363,26094494,24992828,33350016
06,0618,WILLAMETTE,15497929,15685324,15115622,16181347,15919105,17122327
06,0621,COLVILLE,11755165,11998576,17388227,15477523,14142865,14261733
06,0622,COLUMBIA RIVER GORGE NAT AREA,3038921,3806892,3680727,3581011,3274116,6866709
08,0801,NFS IN ALABAMA,11850582,11857518,12362947,13208687,12371293,12826718
08,0802,DANIEL BOONE,9886420,10356013,9994582,10324018,11642624,9351666
08,0803,CHATT-OCONEE,10413004,10471280,11023107,10335269,10913199,11100418
08,0804,CHEROKEE,10167570,10009688,10008864,10971841,11536198,10213387
08,0805,NFS IN FLORIDA,21064569,17249548,17580984,18291790,17272821,17129503
08,0806,KISATCHIE,12972556,13878803,13178582,13649643,13654360,14000837
08,0807,NFS IN MISSISSIPPI,19188748,19713887,18969184,20855537,20748417,24511178
08,0808,GEORGE WASHINGTON/JEFFERSON,17082316,16374812,16405245,16789413,17930221,15807970
08,0809,OUACHITA,20629204,22192315,20353925,23704165,20734589,24000446
08,0810,OZARK-ST FRANCIS,16564303,18472443,17949512,18395001,18998846,15662007
08,0811,NFS IN NORTH CAROLINA,16897837,17131498,16396119,18910353,16480904,17068105
08,0812,FRANCIS MARION & SUMTER,14562011,13667534,12683185,13402673,12875953,13084402
08,0813,NFS IN TEXAS,12757594,12029007,13091578,13531970,13526294,12215868
08,0816,EL YUNQUE,3097000,3141137,3080487,2984788,3336482,2517785
08,0860,LAND BETWEEN THE LAKES NRA,8406956,7671429,7203495,6776191,6642163,5542485
09,0903,CHIPPEWA,9219390,9672884,8797690,10060000,8438500,106000
09,0904,HURON MANISTEE,9669721,13218248,9545855,10032439,11668476,7000
09,0905,MARK TWAIN,13526070,15952999,14463630,18441563,15388854,8050
09,0907,OTTAWA,7911301,8459847,8454977,9010600,9504060,1449000
09,0908,SHAWNEE,5080939,5732810,5628041,5820300,5229200,274000
09,0909,SUPERIOR,14857235,14970688,13901696,14783920,14103500,55000
09,0910,HIAWATHA,8103291,8131835,8287123,8024542,8168600,
09,0912,HOOSIER,5116359,5584504,4660133,5342100,6645990,6500
09,0913,CHEQUAMEGON-NICOLET,13183041,12409968,15345221,16836900,13713777,55500
09,0914,WAYNE,5533611,5837125,5872225,5837700,5364500,
09,0915,MIDEWIN NATL TALLGRASS PRAIRIE,2984573,3076062,3217769,3062100,3165500,
09,0919,ALLEGHENY,8803237,10077908,9635992,10042800,11259290,1274000
09,0920,GREEN MOUNTAIN/FINGER LAKES,6522171,6881691,7322182,6617670,6497767,37900
09,0921,MONONGAHELA,12965254,12012064,9395234,9016600,8696076,17000
09,0922,WHITE MOUNTAIN,7742164,8841169,8844699,12082800,9597790,
10,1004,CHUGACH,16139473,15138313,13255931,15728061,14500182,13356742
10,1005,TONGASS,46855238,53152955,45914146,47905295,43401510,43135110